Model,Target,RMSE,MAE,R2
Persistence,Temperature,1.9812,1.4672,0.8869
Random Forest,Temperature,0.1887,0.108,0.999
XGBoost,Temperature,0.2081,0.0912,0.9988
ARIMA,Temperature,4.6568,3.901,-0.0028
SARIMA,Temperature,4.9476,4.1006,-0.1319
Holt-Winters,Temperature,3.4337,2.8387,0.4548
Transformer,Temperature,1.2983,0.9991,0.9232
Prophet (per-station),Temperature,2.7362,2.1302,0.7839
Persistence,Precipitation,6.1444,2.9509,-0.4275
Random Forest,Precipitation,3.4704,1.5365,0.5446
XGBoost,Precipitation,3.1023,1.3484,0.6361
ARIMA,Precipitation,3.2618,2.8855,-0.4779
SARIMA,Precipitation,2.7555,1.8828,-0.0547
Holt-Winters,Precipitation,3.6634,2.6252,-0.8642
Transformer,Precipitation,2.3938,1.4947,0.1808
Prophet (per-station),Precipitation,5.2321,2.4678,-0.0382
