Model,Target,RMSE,MAE,R2
Random Forest,Temperature,0.1886570638968491,0.10799435196196475,0.9989744706494502
XGBoost,Temperature,0.20683918446990143,0.0901699960231781,0.9987672567367554
ARIMA,Temperature,4.656834336671616,3.9009532157820117,-0.0027882858391390375
SARIMA,Temperature,4.947600035528271,4.100627921847062,-0.1319228914737598
Holt-Winters,Temperature,3.37390702434489,2.7815977674031083,0.4736266465179304
Transformer,Temperature,1.5080894903045372,1.1342320137764759,0.8963504097476697
Persistence,Temperature,1.9812165001765707,1.4672162532806396,0.8868991732597351
Prophet (per-station),Temperature,2.7361557572252164,2.1302184478914947,0.7838929938957204
Random Forest,Precipitation,3.4705172989011936,1.536474309875003,0.5445869576309035
XGBoost,Precipitation,3.1239439133458315,1.3472175598144531,0.6310024261474609
ARIMA,Precipitation,3.261775460868745,2.8854698981254714,-0.4779243811348557
SARIMA,Precipitation,2.7559150657026255,1.8826496524748921,-0.05505657769046102
Holt-Winters,Precipitation,3.347835079460327,2.3053650033271653,-0.5569411703872433
Transformer,Precipitation,2.393406060021661,1.5128889682738043,0.18110437313295635
Persistence,Precipitation,6.144398080943292,2.9509353637695312,-0.4274989366531372
Prophet (per-station),Precipitation,5.232074071312272,2.467866751972348,-0.03824321517912033
Hybrid Ensemble,Precipitation,3.343458644259202,1.4996657371520996,0.5773226022720337
